,0,1,2
0,세종특별자치시  장군면 태산길 50-1,36.5508277,127.1906322
1,세종특별자치시  장군면 장척로 398-9,36.5001948,127.2160389
2,세종특별자치시  금남면 감성길 6,36.4406917,127.2928103
3,세종특별자치시  금남면 금남구즉로 62,36.47249865,127.2878212198275
4,세종특별자치시  소정면 학교말길 10,36.720977149999996,127.15905746422283
5,세종특별자치시  연기면 눌왕길 8-45,36.5442253,127.2517927
6,세종특별자치시  연서면 벌말길 73,36.5983883,127.2093046
7,세종특별자치시  연기면 연기길 2,36.54336585,127.27816940818013
8,세종특별자치시  연동면 청연로 606-36,36.559956549999995,127.32679772819588
9,세종특별자치시  연서면 당산로 357-1,36.5642771,127.28239244264284
10,세종특별자치시  연서면 연서로 148,36.58261235,127.25399341764705
11,세종특별자치시  전동면 하노장3길 9,36.6564409,127.26574030406915
12,세종특별자치시 전의면 운주산로 1204-9,36.6805073,127.20301329054044
13,세종특별자치시  조치원읍 새내18길 21,36.60555875,127.29852012741632
14,세종특별자치시 조치원읍 대동학교길 ,36.5963082,127.2951888
15,세종특별자치시  조치원읍 조치원10길 35,36.60094,127.3046820116586
16,세종특별자치시  조치원읍 서북부로 10,36.6035253,127.28837080362126
17,세종특별자치시  연서면 도원로 63,36.5857115,127.28712757981125
18,세종특별자치시  노을1로 29,36.47891145,127.25850950773417
19,세종특별자치시  부강면 부강로 15,36.5269087,127.36679660919408
20,세종특별자치시  누리로 32,36.477245749999994,127.25279170507673
21,세종특별자치시  보듬8로 11,36.5183303,127.26129335892678
22,세종특별자치시  도움3로 37,36.503167649999995,127.25566862067465
23,세종특별자치시 달빛로 174 ,36.51462735,127.25158541625989
24,세종특별자치시  달빛1로 108 ,36.5088237,127.24712017291208
25,세종특별자치시  보람로 33,36.5116685,127.26243618890895
26,세종특별자치시  나리로 26-16,36.4723369,127.25383605651746
27,세종특별자치시  만남로 227,36.5136769,127.239606
28,세종특별자치시  마음로 208,36.5021336,127.2409585
29,세종특별자치시  마음로 132,36.5021336,127.2409585
30,세종특별자치시  만남로 45,36.5136769,127.239606
31,세종특별자치시  만남로 174,36.5136769,127.239606
32,세종특별자치시  도움1로 160,36.50265335,127.24190820358535
33,세종특별자치시  다솜1로 183,36.514061,127.2553556963073
34,세종특별자치시  다솜로 291,36.50538315,127.27158658254115
35,세종특별자치시  달빛1로 7,36.500335250000006,127.24405055436321
36,세종특별자치시  소담1로 35,36.4841918,127.301231
37,세종특별자치시  보람동로 39,36.479621699999996,127.29336818017666
38,세종특별자치시  보람1길 9,36.4764064,127.2839985
39,세종특별자치시  세종로 941,36.4879953,127.243652
40,세종특별자치시  새롬남로 75,36.485523,127.2533643056941
41,세종특별자치시  새롬중앙1로 27,36.485382900000005,127.24934558750391
42,세종특별자치시  소담로 121,36.4839338,127.3057548
43,세종특별자치시  갈매로 294,36.4899079,127.26434193208704
44,세종특별자치시  반곡2길 21,36.4949951,127.311895
45,세종특별자치시  시청대로 468,36.4880612,127.2971193
46,세종특별자치시  대평1길 19,36.4714902,127.2768963
47,세종특별자치시  다정남로 93,36.49398285,127.25134512106746
48,세종특별자치시  다정남로 35,36.493944,127.24420262390629
49,세종특별자치시  다정북로 139,36.4968888,127.24572362010507
50,세종특별자치시  해밀1로 73,36.525678,127.26863289125248
51,세종특별자치시  집현서로 23,36.48904415,127.32036237538965
