,year,시도별,해법수학 학원수,푸르넷 학원수,웅진 학원수
0,2015,서울,386,5,61
1,2015,인천,112,2,33
2,2015,경기,861,27,165
3,2015,부산,155,3,20
4,2015,대구,85,6,33
5,2015,광주,46,2,24
6,2015,대전,35,2,17
7,2015,울산,16,7,29
8,2015,세종,25,0,10
9,2015,강원,48,4,27
10,2015,충북,49,6,17
11,2015,충남,67,2,35
12,2015,전북,59,3,30
13,2015,전남,55,9,39
14,2015,경북,123,8,16
15,2015,경남,159,7,62
16,2015,제주,15,2,15
17,2016,서울,386,5,61
18,2016,인천,112,2,33
19,2016,경기,861,27,165
20,2016,부산,155,3,20
21,2016,대구,85,6,33
22,2016,광주,46,2,24
23,2016,대전,35,2,17
24,2016,울산,16,7,29
25,2016,세종,25,0,10
26,2016,강원,48,4,27
27,2016,충북,49,6,17
28,2016,충남,67,2,35
29,2016,전북,59,3,30
30,2016,전남,55,9,39
31,2016,경북,123,8,16
32,2016,경남,159,7,62
33,2016,제주,15,2,15
34,2017,서울,386,5,61
35,2017,인천,112,2,33
36,2017,경기,861,27,165
37,2017,부산,155,3,20
38,2017,대구,85,6,33
39,2017,광주,46,2,24
40,2017,대전,35,2,17
41,2017,울산,16,7,29
42,2017,세종,25,0,10
43,2017,강원,48,4,27
44,2017,충북,49,6,17
45,2017,충남,67,2,35
46,2017,전북,59,3,30
47,2017,전남,55,9,39
48,2017,경북,123,8,16
49,2017,경남,159,7,62
50,2017,제주,15,2,15
51,2018,서울,386,5,61
52,2018,인천,112,2,33
53,2018,경기,861,27,165
54,2018,부산,155,3,20
55,2018,대구,85,6,33
56,2018,광주,46,2,24
57,2018,대전,35,2,17
58,2018,울산,16,7,29
59,2018,세종,25,0,10
60,2018,강원,48,4,27
61,2018,충북,49,6,17
62,2018,충남,67,2,35
63,2018,전북,59,3,30
64,2018,전남,55,9,39
65,2018,경북,123,8,16
66,2018,경남,159,7,62
67,2018,제주,15,2,15
68,2019,서울,386,5,61
69,2019,인천,112,2,33
70,2019,경기,861,27,165
71,2019,부산,155,3,20
72,2019,대구,85,6,33
73,2019,광주,46,2,24
74,2019,대전,35,2,17
75,2019,울산,16,7,29
76,2019,세종,25,0,10
77,2019,강원,48,4,27
78,2019,충북,49,6,17
79,2019,충남,67,2,35
80,2019,전북,59,3,30
81,2019,전남,55,9,39
82,2019,경북,123,8,16
83,2019,경남,159,7,62
84,2019,제주,15,2,15
85,2020,서울,386,5,61
86,2020,인천,112,2,33
87,2020,경기,861,27,165
88,2020,부산,155,3,20
89,2020,대구,85,6,33
90,2020,광주,46,2,24
91,2020,대전,35,2,17
92,2020,울산,16,7,29
93,2020,세종,25,0,10
94,2020,강원,48,4,27
95,2020,충북,49,6,17
96,2020,충남,67,2,35
97,2020,전북,59,3,30
98,2020,전남,55,9,39
99,2020,경북,123,8,16
100,2020,경남,159,7,62
101,2020,제주,15,2,15
102,2021,서울,386,5,61
103,2021,인천,112,2,33
104,2021,경기,861,27,165
105,2021,부산,155,3,20
106,2021,대구,85,6,33
107,2021,광주,46,2,24
108,2021,대전,35,2,17
109,2021,울산,16,7,29
110,2021,세종,25,0,10
111,2021,강원,48,4,27
112,2021,충북,49,6,17
113,2021,충남,67,2,35
114,2021,전북,59,3,30
115,2021,전남,55,9,39
116,2021,경북,123,8,16
117,2021,경남,159,7,62
118,2021,제주,15,2,15
